,,,,,,,,,,
,"THEO DÕI CÔNG VIỆC CHI TIẾT — NGƯỜI PHỤ TRÁCH, THỜI HẠN & TRẠNG THÁI",,,,,,,,,
,,,,,,,,,,
,#,Luồng công việc,Công việc,Người phụ trách,Ngày đến hạn,Mức độ ưu tiên,Trạng thái,Số ngày còn lại,% Hoàn thành,Ghi chú
,1,Trước khai trương: Pháp lý & Thiết lập,Tìm đối tác nhượng quyền / Chốt mô hình kinh doanh,CEO,31-Jul-2026,Cao,Đang thực hiện,-20,60%,
,2,Trước khai trương: Hệ thống,Xây dựng hệ thống hồ sơ sức khỏe điện tử Care Passport,IT / Ops,01-Jul-2026,Cao,Đang thực hiện,-50,99%,
,3,Trước khai trương: Hệ thống,Cấu hình mẫu Báo cáo Bản đồ Cơ thể,Ops Manager,01-Jul-2026,Cao,Hoàn thành,-50,100%,
,4,Trước khai trương: Nhân sự & Đào tạo,Học và thi chứng chỉ,Training Lead,01-Sep-2026,Cao,Đang thực hiện,12,40%,
,5,Trước khai trương: Hệ thống,Hoàn thiện hệ thống CRM & AI quản trị vận hành,IT / Ops,20-Jul-2026,Trung bình,Đang thực hiện,-31,70%,
,6,Trước khai trương: Pháp lý & Thiết lập,Đăng ký Giấy phép Kép (spa thư giãn + phòng khám VLTL),CEO / Legal,02-Sep-2026,Cao,Chưa bắt đầu,13,0%,
,7,Trước khai trương: Pháp lý & Thiết lập,Ký hợp đồng thuê & giấy phép thi công,CEO,17-Aug-2026,Cao,Hoàn thành,-3,100%,
,8,Trước khai trương: Nhân sự & Đào tạo,Tuyển dụng kỹ thuật viên & đội ngũ CSKH,HR,31-Aug-2026,Cao,Đang thực hiện,11,50%,
,9,Trước khai trương: Tài chính,Chốt ngân sách OPEX & kiểm soát dòng tiền (<155tr VNĐ/tháng),CEO / Finance,24-Aug-2026,Cao,Đang thực hiện,4,70%,
,10,Trước khai trương: Pháp lý & Thiết lập,Thuê bác sĩ bán thời gian (yêu cầu giấy phép phòng khám VLTL),CEO / HR,02-Sep-2026,Trung bình,Chưa bắt đầu,13,0%,
,11,Trước khai trương: Cơ sở vật chất,"Thi công nội thất (cách âm, phòng trị liệu)",Ops Manager,21-Sep-2026,Cao,Chưa bắt đầu,32,20%,
,12,Trước khai trương: Nhân sự & Đào tạo,Xây dựng video SOP HANA Academy,Training Lead,07-Sep-2026,Trung bình,Chưa bắt đầu,18,0%,
,13,Trước khai trương: Tài chính,Chiến dịch doanh thu trước khai trương (Thành viên sáng lập),Marketing,28-Sep-2026,Cao,Chưa bắt đầu,39,0%,
,14,Trước khai trương: Nhân sự & Đào tạo,Đào tạo hội nhập kỹ thuật viên & chứng nhận kỹ thuật,Training Lead,07-Sep-2026,Cao,Chưa bắt đầu,18,0%,
,15,Trước khai trương: Cơ sở vật chất,Mua sắm: Nội thất,CEO,26-Sep-2026,Trung bình,Chưa bắt đầu,37,0%,
,16,Trước khai trương: Cơ sở vật chất,Mua sắm: Thiết bị chuyên dụng,CEO,25-Sep-2026,Trung bình,Chưa bắt đầu,36,0%,
,17,Trước khai trương: Cơ sở vật chất,Mua sắm: Đồ tiêu hao,CEO,25-Sep-2026,Cao,Chưa bắt đầu,36,0%,
,18,Trước khai trương: Cơ sở vật chất,Mua sắm: Phần mềm & POS,CEO,30-Sep-2026,Cao,Chưa bắt đầu,41,0%,
,19,Trước khai trương: Tiếp thị,Tiếp cận B2B Đánh giá Đau nhức Văn phòng (tạo lead HR),Marketing,28-Sep-2026,Trung bình,Chưa bắt đầu,39,0%,
,20,Trước khai trương: Nhân sự & Đào tạo,"Đào tạo đội ngũ CSKH: Form tiếp nhận, Bản đồ cơ thể, FORM-05/06",Training Lead,10-Sep-2026,Cao,Chưa bắt đầu,21,0%,
,21,Trước khai trương: Tiếp thị,Thiết lập Google Maps / kênh giới thiệu,Marketing,28-Sep-2026,Trung bình,Chưa bắt đầu,39,0%,
,22,Trước khai trương: Cơ sở vật chất,Kiểm tra vệ sinh & an toàn cuối cùng,Ops Manager,07-Oct-2026,Trung bình,Chưa bắt đầu,48,0%,
,23,Khai trương,Khai trương thử nghiệm (nhân viên + Thành viên sáng lập),CEO,29-Oct-2026,Cao,Chưa bắt đầu,70,0%,
,24,Khai trương,Khai trương chính thức — Ngày 1 (Tháng 0),CEO,02-Nov-2026,Cao,Chưa bắt đầu,74,0%,
,25,Tháng thứ 1: Ổn định,Thực hiện Đánh giá HANA Insight cho tất cả khách hàng mới,Ops Manager,31-Dec-2026,Trung bình,Chưa bắt đầu,133,0%,
,26,Tháng thứ 1: Ổn định,Triển khai kịch bản bán hàng HANA Start 3 cho toàn đội ngũ,Sales Lead,15-Dec-2026,Cao,Chưa bắt đầu,117,0%,
,27,Tháng thứ 1: Ổn định,Kích hoạt SLA chăm sóc sau dịch vụ FORM-05 (2h/24h/5d/14d),CS Lead,22-Dec-2026,Thấp,Chưa bắt đầu,124,0%,
,28,Tháng thứ 2: Xây dựng Phễu,Mở rộng quy mô workshop B2B Đánh giá Đau nhức Văn phòng,Marketing,29-Jan-2027,Cao,Chưa bắt đầu,162,0%,
,29,Tháng thứ 2: Xây dựng Phễu,Khởi chạy chiến dịch Desk Relief 45 giờ nghỉ trưa,Marketing,22-Jan-2027,Trung bình,Chưa bắt đầu,155,0%,
,30,Tháng thứ 3: Cột mốc Hòa vốn,Kiểm tra kích hoạt Kế hoạch ứng phó kịch bản tiêu cực (<140-150tr doanh thu),CEO / Finance,06-Feb-2027,Trung bình,Chưa bắt đầu,170,0%,
,31,Tháng thứ 3: Cột mốc Hòa vốn,Đánh giá tài chính Tháng 3 so với mục tiêu hòa vốn,CEO / Finance,06-Feb-2027,Cao,Chưa bắt đầu,170,0%,
,32,Tháng thứ 4-5: Động cơ Giữ chân,Mở rộng quy mô chuyển đổi Relief 6 / Recovery 10,Sales Lead,15-Apr-2027,Cao,Chưa bắt đầu,238,0%,
,33,Tháng thứ 4-5: Động cơ Giữ chân,Đẩy mạnh B2B Gói Buddy 2 / Gói Nhóm 4,Marketing,15-Apr-2027,Trung bình,Chưa bắt đầu,238,0%,
,34,Tháng thứ 6: Đánh giá Lợi nhuận,Đánh giá lợi nhuận ròng Tháng 6 (mục tiêu ≥100tr VNĐ/tháng),CEO / Finance,46515,,Chưa bắt đầu,261,0,
,35,Tháng thứ 6: Đánh giá Lợi nhuận,Kiểm toán Quy trình Khắc phục sự cố dịch vụ & đánh giá NPS,CS Lead,46515,,Chưa bắt đầu,261,0,
,36,Tháng thứ 6: Đánh giá Lợi nhuận,Quyết định: Mở rộng chi nhánh Thể thao/Hiệu suất,CEO,46513,,Chưa bắt đầu,259,0,
